category,question,answer
Basic,명령어 도움말을 출력하는 명령어는?,man
Basic,현재 시간 및 날짜를 출력하는 명령어는?,date
Basic,새 디렉토리를 생성하는 명령어는?,mkdir
Basic,디렉토리를 이동하는 명령어는?,cd
Basic,빈 파일을 생성하는 명령어는?,touch
Basic,디렉토리 내 파일 목록을 출력하는 명령어는?,ls
Basic,지정 경로에 있는 filename에 해당하는 파일 내용을 출력하는 명령어는?,cat
Basic,원하는 파일을 복사하는 명령어는?,cp
Basic,파일을 영구적으로 삭제하는 명령어는?,rm
Basic,파일을 찾는 명령어는?,find
Basic,특정 파일을 이동하는 명령어는?,mv
Basic,현재 디렉토리 위치를 표시하는 명령어는?,pwd
Basic,실행한 명령어 기록을 조회하는 명령어는?,history
Basic,문자열 검색 및 패턴에 매칭되는 라인을 확인하는 명령어는?,grep
Basic,파일의 처음 줄을 출력하는 명령어는?,head
Basic,파일의 마지막 줄을 출력하는 명령어는?,tail
Basic,한 화면 단위로 출력하는 명령어는?,more
Basic,페이지 단위로 출력하는 명령어는?,less
Basic,사용자를 전환하는 명령어는?,su
Basic,루트 셸을 실행하는 명령어는?,sudo -i
Basic,사용자를 생성하는 명령어는?,useradd
Basic,비밀번호를 설정하는 명령어는?,passwd
Basic,현재 사용자 정보를 확인하는 명령어는?,who or w or whoami
Basic,명령어 위치를 확인하는 명령어는?,which
Basic,명령어 관련 정보 위치를 확인하는 명령어는?,whereis
Basic,열린 파일 목록을 확인하는 명령어는?,lsof
Filesystem,디스크 파티션 정보를 확인하는 명령어는?,fdisk
Filesystem,파일 시스템을 생성하는 명령어는?,mkfs
Filesystem,파일 시스템을 점검 및 복구하는 명령어는?,fsck
Filesystem,디바이스를 마운트하는 명령어는?,mount
Filesystem,디스크 UUID를 확인하는 명령어는?,blkid
Filesystem,디스크 사용량을 확인하는 명령어는?,df
Filesystem,디렉토리 용량을 확인하는 명령어는?,du
Filesystem,파일이나 디렉토리의 사용 권한을 지정하는 명령어는?,chmod
Filesystem,파일이나 디렉토리의 소유자나 소유자 그룹을 변경하는 명령어는?,chown
Filesystem,파일이나 디렉토리의 사용자 그룹 권한을 변경하는 명령어는?,chgrp
Link,하드링크를 생성하는 명령어는?,ln
Link,심볼릭 링크를 생성하는 명령어는?,ln -s
Network,호스트명을 출력 또는 변경하는 명령어는?,hostname
Network,IP 주소를 확인하는 명령어는?,ip addr
Network,특정한 인터넷 호스트의 주소로 그 주소가 응답을 할 수 있는지 확인하는 명령어는?,ping
Network,IP routing table 정보를 보거나 routing table을 처리하는 명령어는?,route
Network,라우팅 경로를 찾는 명령어는?,traceroute
Network,시스템의 외부와의 연결이 어떻게 되어 있는지를 출력하는 명령어는?,netstat
Network,패킷 모니터링을 위한 트래픽 덤프 도구로 이를 실행하거나 사용하는 명령어는?,tcpdump
Network,파일이나 소켓을 사용하는 프로세스 ID를 출력하는 명령어는?,fuser
Network,도메인 네임서버에 질의를 할 수 있도록 하는 명령어는?,nslookup
Network,크래커가 자신의 주소를 /ect/hosts.allow에 적혀있는 허가되는 IP로 속이고 접근하는 것은?,IP Spoofing 공격
Process,프로그램이 CPI Memory 파일 입출력 장치와 같은 자원들을 사용하여 실행하고 있는 상태는?,process
Process,하드 디스크에 저장되어 있는 실행 가능한 파일은?,program
Process,리눅스에서 프로그램이 실행 중일 때 상태는?,running
Process,프로세스가 하드디스크나 입출력 장치의 완료를 기다리는 상태는?,waiting
Process,프로세스가 CPU 할당을 기다리는 상태는?,ready
Process,사용자가 명령을 실행한 후 다른 명령을 기다리지 않고 실행하는 프로세스 상태는?,background
Process,명령 실행 후 다른 명령이 끝날 때까지 기다리는 프로세스 상태는?,foreground
Process,프로세스 작업을 종료하는 단축키는?,Ctrl+C
Process,프로세스를 일시 중지시키는 단축키는?,Ctrl+Z
Process,일시 중지된 프로세스를 background로 돌리는 명령은?,bg
Process,일시 중지된 프로세스를 foreground로 복귀시키는 명령은?,fg
Process,프로세스를 background로 실행하기 위해 명령어 뒤에 붙이는 것은?,&
Process,현재 프로세스들의 상태를 PID(Process ID)와 함께 보여주는 명령어는?,ps
Process,프로세스의 스케줄링 우선권을 변경하여 프로그램을 수행하는 명령어는?,nice
Process,ps 명령어의 출력 항목 중 CPU 사용률을 나타내는 것은?,%CPU
Process,ps 명령어의 출력 항목 중 메모리 사용비율의 추정치를 나타내는 것은?,%MEM
Process,ps 명령어의 출력 항목 중 SYSTEM V 계열에서 나타나는 프로세스 소유자명은?,UID
Process,ps 명령어의 출력 항목 중 BSD 계열에서 나타나는 프로세스 소유자명은?,USER
Process,ps 명령어의 출력 항목 중 프로세스의 고유 식별번호를 나타내는 항목의 이름은?,PID
Process,프로세스를 종료할 때 사용하며 종료를 위하여 프로세스에 신호를 보내는 명령어는?,kill
Process,pid가 9번인 프로세스를 종료할 때 사용하는 명령어는?,kill 9
Process,프로세스들을 계층적인 트리구조(부모와 자식 프로세스) 형태로 출력하는 명령어는?,pstree
Firewall,출발지 네트워크와 매칭하여 방화벽 규칙을 적용하는 옵션은?,--source(-s)
Firewall,목적지 네트워크와 매칭하여 방화벽 규칙을 적용하는 옵션은?,--destination(-d)
Firewall,방화벽 규칙에서 적용할 프로토콜을 매칭하는 옵션은?,--protocol(-p)
Firewall,입력 인터페이스를 지정하는 옵션은?,--in-interface(-i)
Firewall,출력 인터페이스를 지정하는 옵션은?,--out-interface(-o)
Firewall,패킷의 연결 상태를 기준으로 방화벽 규칙을 적용하는 옵션은?,--state
Firewall,방화벽 규칙에서 패킷을 받아들이는 것은?,ACCEPT
Firewall,방화벽 규칙 중 패킷이 전송된 적이 없었던 것처럼 버리는 것은?,DROP
Firewall,방화벽 규칙 중 패킷을 버리고 이와 동시에 적절한 응답을 전송하는 것은?,REJECT
Firewall,방화벽 규칙 중 패킷을 syslog에 기록하는 것은?,LOG
Firewall,방화벽 규칙 중 호출 체인 내에서 패킷 처리를 계속하는 것은?,RETURN
Firewall,방화벽 규칙 중 기존 연결의 일부인 패킷에 해당하는 것은?,ESTABLISHED
Firewall,방화벽 규칙에서 새로운 규칙을 추가하는 옵션은?,-A(--append)
Firewall,방화벽 규칙에서 규칙을 삭제하는 옵션은?,-D(--delete)
Firewall,방화벽 규칙을 출력하는 옵션은?,-L(--list)
Firewall,체인으로부터 규칙을 모두 삭제하는 옵션은?,-F(--flush)
